Start,End,Valence,Arousal,Dominance,Audio
"40.0","112.0","5.507142857142857","4.384166666666667","5.336785714285716","1.854220264008331"
"112.0","129.0","4.977857142857142","4.002142857142856","5.3621428571428575","2.617765022876728"
"130.0","148.0","5.881363636363636","4.732727272727273","5.654090909090909","2.033354672142643"
"148.0","163.0","5.287272727272727","4.054545454545454","5.453636363636364","1.7296728433485575"
"164.0","186.0","5.714857142857143","3.7305714285714284","5.700285714285715","3.7934416567656273"
"186.0","660.0","5.174498777506113","4.302078239608802","5.238410757946211","3.086862779846017"
"661.0","684.0","5.65090909090909","3.772727272727273","5.416969696969697","0.1519766187296579"
"685.0","751.0","5.445764705882353","4.122000000000001","5.404000000000001","0.966212037829348"
"752.0","915.0","5.114475138121547","4.061602209944751","5.277900552486187","1.8086956868958133"
"915.0","991.0","5.272499999999999","4.08925","5.334","1.2701261310595477"
"992.0","1017.0","4.615","3.6775","5.0725","0.15626010655124137"
"1018.0","1024.0","5.378461538461538","4.167692307692308","5.398461538461539","0.24605603454347552"
"1025.0","1034.0","5.375","3.95","5.2475000000000005","0.3953841707593228"
"1035.0","1044.0","4.906428571428571","3.7364285714285708","5.234999999999999","0.39201985580403015"
"1045.0","1058.0","5.3277777777777775","4.573333333333333","5.605555555555556","0.4060761810334191"
"1059.0","1169.0","5.036861313868613","4.115985401459854","5.304963503649635","0.3930319160969081"
"1170.0","1368.0","5.305934065934066","4.126153846153846","5.300769230769231","0.3276685840157888"
"1369.0","1402.0","5.427631578947368","3.8600000000000003","5.423684210526316","0.11718146934693714"
"1403.0","1424.0","5.4575471698113205","3.7830188679245285","5.515094339622642","0.24548854361924066"
"1424.0","1530.0","5.6053125","3.7384375000000003","5.2993749999999995","0.7296985025097599"
"1530.0","1622.0","4.927627118644068","4.03728813559322","5.256271186440678","0.5312668254431819"
"1623.0","1647.0","5.340471698113209","4.165754716981131","5.282452830188679","0.5708139130927169"
"1648.0","1864.0","5.34120253164557","4.211265822784809","5.387215189873418","0.8713839978064557"
